GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Private for-profit wage and salary workers:
HD02_VD03,Margin of Error; Private for-profit wage and salary workers:
HD01_VD04,Estimate; Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD04,Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers
HD01_VD05,Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD02_VD05,Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD01_VD06,Estimate; Private not-for-profit wage and salary workers
HD02_VD06,Margin of Error; Private not-for-profit wage and salary workers
HD01_VD07,Estimate; Local government workers
HD02_VD07,Margin of Error; Local government workers
HD01_VD08,Estimate; State government workers
HD02_VD08,Margin of Error; State government workers
HD01_VD09,Estimate; Federal government workers
HD02_VD09,Margin of Error; Federal government workers
HD01_VD10,Estimate; Self-employed in own not incorporated business workers
HD02_VD10,Margin of Error; Self-employed in own not incorporated business workers
HD01_VD11,Estimate; Unpaid family workers
HD02_VD11,Margin of Error; Unpaid family workers
HD01_VD12,"Estimate; Car, truck, or van - drove alone:"
HD02_VD12,"Margin of Error; Car, truck, or van - drove alone:"
HD01_VD13,"Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:"
HD02_VD13,"Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:"
HD01_VD14,"Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers"
HD02_VD14,"Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers"
HD01_VD15,"Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers"
HD02_VD15,"Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers"
HD01_VD16,"Estimate; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers"
HD02_VD16,"Margin of Error; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers"
HD01_VD17,"Estimate; Car, truck, or van - drove alone: - Local government workers"
HD02_VD17,"Margin of Error; Car, truck, or van - drove alone: - Local government workers"
HD01_VD18,"Estimate; Car, truck, or van - drove alone: - State government workers"
HD02_VD18,"Margin of Error; Car, truck, or van - drove alone: - State government workers"
HD01_VD19,"Estimate; Car, truck, or van - drove alone: - Federal government workers"
HD02_VD19,"Margin of Error; Car, truck, or van - drove alone: - Federal government workers"
HD01_VD20,"Estimate; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers"
HD02_VD20,"Margin of Error; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers"
HD01_VD21,"Estimate; Car, truck, or van - drove alone: - Unpaid family workers"
HD02_VD21,"Margin of Error; Car, truck, or van - drove alone: - Unpaid family workers"
HD01_VD22,"Estimate; Car, truck, or van - carpooled:"
HD02_VD22,"Margin of Error; Car, truck, or van - carpooled:"
HD01_VD23,"Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:"
HD02_VD23,"Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:"
HD01_VD24,"Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers"
HD02_VD24,"Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers"
HD01_VD25,"Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers"
HD02_VD25,"Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers"
HD01_VD26,"Estimate; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers"
HD02_VD26,"Margin of Error; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers"
HD01_VD27,"Estimate; Car, truck, or van - carpooled: - Local government workers"
HD02_VD27,"Margin of Error; Car, truck, or van - carpooled: - Local government workers"
HD01_VD28,"Estimate; Car, truck, or van - carpooled: - State government workers"
HD02_VD28,"Margin of Error; Car, truck, or van - carpooled: - State government workers"
HD01_VD29,"Estimate; Car, truck, or van - carpooled: - Federal government workers"
HD02_VD29,"Margin of Error; Car, truck, or van - carpooled: - Federal government workers"
HD01_VD30,"Estimate; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers"
HD02_VD30,"Margin of Error; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers"
HD01_VD31,"Estimate; Car, truck, or van - carpooled: - Unpaid family workers"
HD02_VD31,"Margin of Error; Car, truck, or van - carpooled: - Unpaid family workers"
HD01_VD32,Estimate; Public transportation (excluding taxicab):
HD02_VD32,Margin of Error; Public transportation (excluding taxicab):
HD01_VD33,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:
HD02_VD33,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:
HD01_VD34,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD34,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers
HD01_VD35,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD02_VD35,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD01_VD36,Estimate; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers
HD02_VD36,Margin of Error; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers
HD01_VD37,Estimate; Public transportation (excluding taxicab): - Local government workers
HD02_VD37,Margin of Error; Public transportation (excluding taxicab): - Local government workers
HD01_VD38,Estimate; Public transportation (excluding taxicab): - State government workers
HD02_VD38,Margin of Error; Public transportation (excluding taxicab): - State government workers
HD01_VD39,Estimate; Public transportation (excluding taxicab): - Federal government workers
HD02_VD39,Margin of Error; Public transportation (excluding taxicab): - Federal government workers
HD01_VD40,Estimate; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers
HD02_VD40,Margin of Error; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers
HD01_VD41,Estimate; Public transportation (excluding taxicab): - Unpaid family workers
HD02_VD41,Margin of Error; Public transportation (excluding taxicab): - Unpaid family workers
HD01_VD42,Estimate; Walked:
HD02_VD42,Margin of Error; Walked:
HD01_VD43,Estimate; Walked: - Private for-profit wage and salary workers:
HD02_VD43,Margin of Error; Walked: - Private for-profit wage and salary workers:
HD01_VD44,Estimate; Walked: - Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD44,Margin of Error; Walked: - Private for-profit wage and salary workers: - Employee of private company workers
